time,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),apparent_temperature (°C),pressure_msl (hPa),surface_pressure (hPa),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),windspeed_10m (km/h),windspeed_100m (km/h),winddirection_10m (°),winddirection_100m (°),windgusts_10m (km/h),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),Level
2021-01-17T18:00,-8.9,99.0,-9.0,-13.1,1006.6,961.9,0.0,0.0,0.07,100.0,99.0,49.0,89.0,0.0,0.0,0.0,0.0,6.8,13.4,288.0,301.0,19.8,0.0,0.0,-1.8,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-17T19:00,-8.7,99.0,-8.8,-12.8,1006.6,961.9,0.0,0.0,0.0,100.0,97.0,38.0,100.0,0.0,0.0,0.0,0.0,6.8,13.1,288.0,302.0,19.1,0.0,0.0,-1.7,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-17T20:00,-8.5,99.0,-8.7,-12.6,1006.6,961.9,0.0,0.0,0.0,100.0,94.0,45.0,100.0,0.0,0.0,0.0,0.0,6.3,12.1,283.0,300.0,18.7,0.0,0.0,-1.8,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-17T21:00,-8.2,98.0,-8.4,-12.1,1006.4,961.8,0.0,0.0,0.0,100.0,93.0,91.0,100.0,0.0,0.0,0.0,0.0,5.4,11.8,274.0,297.0,17.6,0.0,0.01,-1.6,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-17T22:00,-8.1,99.0,-8.3,-11.9,1006.3,961.7,0.0,0.0,0.0,100.0,89.0,98.0,98.0,0.0,0.0,0.0,0.0,4.7,10.4,261.0,290.0,17.6,0.0,0.0,-1.6,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-17T23:00,-8.4,99.0,-8.5,-12.3,1006.4,961.8,0.0,0.0,0.0,100.0,70.0,98.0,100.0,0.0,0.0,0.0,0.0,5.2,9.5,258.0,281.0,15.1,0.0,0.0,-1.7,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-18T00:00,-8.5,99.0,-8.7,-12.4,1006.1,961.5,0.0,0.0,0.0,100.0,80.0,98.0,100.0,0.0,0.0,0.0,0.0,5.0,9.7,249.0,268.0,14.4,0.0,0.0,-1.7,-2.2,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-18T01:00,-8.4,98.0,-8.7,-12.5,1006.0,961.4,0.0,0.0,0.0,100.0,62.0,97.0,100.0,0.0,0.0,0.0,0.0,6.2,12.1,249.0,258.0,15.5,0.0,0.01,-0.8,-2.2,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T02:00,-8.7,96.0,-9.2,-12.8,1005.9,961.2,0.2,0.0,0.14,100.0,55.0,97.0,99.0,0.0,0.0,0.0,0.0,6.0,13.4,245.0,256.0,16.9,0.0,0.01,-0.8,-2.1,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T03:00,-8.7,95.0,-9.3,-12.7,1005.3,960.7,0.3,0.0,0.21,100.0,52.0,100.0,99.0,0.0,0.0,0.0,0.0,5.8,14.1,240.0,255.0,18.7,0.0,0.02,-0.9,-2.1,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T04:00,-8.8,95.0,-9.4,-12.9,1005.0,960.4,0.2,0.0,0.14,100.0,45.0,100.0,98.0,0.0,0.0,0.0,0.0,6.2,15.0,234.0,253.0,20.2,0.0,0.01,-1.0,-2.1,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T05:00,-8.9,96.0,-9.5,-13.1,1004.6,960.0,0.1,0.0,0.07,100.0,51.0,98.0,97.0,0.0,0.0,0.0,0.0,6.2,15.0,234.0,253.0,20.5,0.0,0.01,-1.0,-2.1,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T06:00,-9.2,96.0,-9.7,-13.3,1004.4,959.7,0.0,0.0,0.07,100.0,61.0,98.0,100.0,0.0,0.0,0.0,0.0,6.3,15.3,239.0,255.0,21.6,0.0,0.01,-1.1,-2.1,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T07:00,-9.3,96.0,-9.8,-13.6,1004.2,959.5,0.0,0.0,0.07,100.0,60.0,98.0,98.0,0.0,0.0,0.0,0.0,6.8,15.6,238.0,255.0,21.6,0.0,0.01,-1.3,-2.1,-0.2,1.0,0.204,0.201,0.206,0.26,2
2021-01-18T08:00,-9.3,96.0,-9.8,-13.6,1004.1,959.4,0.0,0.0,0.07,100.0,65.0,98.0,95.0,0.0,0.0,0.0,0.0,7.4,16.4,241.0,255.0,22.3,0.0,0.01,-1.3,-2.1,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-18T09:00,-9.2,96.0,-9.8,-13.6,1003.8,959.2,0.0,0.0,0.07,100.0,67.0,97.0,94.0,0.0,0.0,0.0,0.0,7.7,16.8,242.0,255.0,23.0,0.0,0.01,-1.3,-2.1,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-18T10:00,-9.2,96.0,-9.7,-13.6,1003.9,959.3,0.0,0.0,0.07,100.0,70.0,99.0,94.0,0.0,0.0,0.0,0.0,8.0,17.1,243.0,255.0,24.5,0.0,0.01,-1.3,-2.1,-0.2,1.0,0.205,0.201,0.206,0.26,2
2021-01-18T11:00,-9.5,96.0,-10.0,-14.0,1003.9,959.2,0.0,0.0,0.07,100.0,74.0,100.0,67.0,0.0,0.0,0.0,0.0,8.4,17.2,245.0,254.0,25.9,0.0,0.01,-1.3,-2.0,-0.2,1.0,0.205,0.201,0.206,0.26,2
